ano,exp_litros,exp_usd,imp_litros,imp_usd,balanca_litros,balanca_usd,preco_medio_exp,preco_medio_imp,diferenca_preco_pct
2009,25514198,8940988.0,55926957,176395817.0,-30412759,-167454829.0,0.3504318654264578,3.1540392408619695,800.04350404141
2010,1280574,2595303.0,70737868,223080695.0,-69457294,-220485392.0,2.0266716331894914,3.1536248024891,55.606105638635526
2011,1214834,3615120.0,72705225,262059068.0,-71490391,-258443948.0,2.9758139795231284,3.604404882867772,21.123326514024065
2012,5775376,5521293.0,74209440,262745743.0,-68434064,-257224450.0,0.956005808106693,3.5405973013675887,270.3531161991066
2013,9149059,22744845.0,67954436,255566175.0,-58805377,-232821330.0,2.4860310770757956,3.7608460910484194,51.27912622364039
2014,2324029,7472795.0,76910155,290253312.0,-74586126,-282780517.0,3.21544825817578,3.7739270191303085,17.36861289975693
2015,1198479,2769160.0,77686474,258979772.0,-76487995,-256210612.0,2.3105619706311082,3.3336533203965466,44.278896769256114
2016,1786549,4434704.0,88345068,260843144.0,-86558519,-256408440.0,2.4822739258760884,2.952549020619917,18.94533435015038
2017,2889572,7135607.0,118330745,339211312.0,-115441173,-332075705.0,2.4694338815575456,2.8666371702468365,16.084791403233
2018,3856162,7486063.0,109971001,346102093.0,-106114839,-338616030.0,1.9413248198597466,3.1472123546461126,62.116731957997985
2019,3152873,5934826.0,114175423,343817135.0,-111022550,-337882309.0,1.882354918831174,3.011305988329905,59.97546255515618
2020,4409717,6078110.0,147135137,402693184.0,-142725420,-396615074.0,1.3783446874255196,2.736893390733717,98.56378565550995
2021,8058704,9851942.0,154690551,451731090.0,-146631847,-441879148.0,1.2225218844121835,2.920224196499242,138.8688688303811
2022,7025983,10945282.0,147600655,431979112.0,-140574672,-421033830.0,1.5578292745655662,2.926674763062535,87.86877425183197
2023,5538888,8923076.0,137712871,428292652.0,-132173983,-419369576.0,1.6109868984532636,3.110040832711998,93.0519010240246
